Cr,,,,
,todo lo que es Antartica,,,
,solo Beagle,,,
,solo Magallanes,,,
,solo Oceano Pacifico,,,
,solo Oceano Atlantico,,,
,general sin zona,,,
,,,,
Feeding mode,Detritivorous,,,
Indica rol en el trophic pathway,Opportunistic/Scavengers,,,
,Depositovorous,,,
,Grazers,,,
,Filter/Suspension feeders,,,
,Predators,,,
,,,,
,,,,
Diet type,Omnivorous,,,
,Carnivorous,,,
,Herbivorous,,,
,,,,
Life stage,adult,,,
,larvae,,,
,juvenile,,,
,,,,
Sex,Female,,,
,Male,,,
,,,,
Mobility,sessil,,,
may increase prey vulnerability,swimmer,,,
,burrower,,,
,crawler,,,
,drifter ,,,
,mobile,,,
,,,,
body design,vermiform,,,
a more linear body form increase prey vulnerability,bivalved,,,
,turbinate,,,
,articulate,,,
,pisciform,,,
,,,,
protection,no protection,,,
Indica prey vulnerability,tube or case,,,
,burrow,,,
,softshell,,,
,hardshell,,,
,spines,,,
,,,,
body size,,,,
smaller prey increase prey vulnerability,,,,
,,,,
Metabolic category,Invertebrate,,,
,Ectotherm vertebrate,,,