Trophospecie,Taxonomic group (phylum/subphylum),Common name,Habitat,Funtional group,Body size,Body weight,Life Stage,Trophic Level,Trophic position,Abundance,Biomass,Production,P/B ratio,Diet type,Feeding Mode,,,,,,,,,,
Acanthocyclus albatrossis,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Adenocystis utricularis,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Aged detritus,NA,detritus (faeces),benthic,non-living,,,,,,,,,,,,,,,,,,,,,
Amphipoda,Crustacea,amphipod,benthopelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Anasterias antarctica,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Arbacia dufresnii,Echinodermata,sea urchin,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Ascidiacea,TunicataÂ ,ascidian,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Asterina fimbriata,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Aulacomya atra,Mollusca,mussel,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Austrolycus depressiceps,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Ballia sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Bathyraja albomaculata,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bathyraja brachyurops,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bathyraja griseocauda,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bathyraja scaphiops,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Bivalvia,Bivalvia,bivalve,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Blidingia minima,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Bostrychia sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Bryozoa,Bryozoa,bryozoan,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Calliostoma nudum,Mollusca,sea snail,benthic ,benthos,,,,,,,,,,,,,,,,,,,,,
Callophyllis pinnata,Rhodophyta,red algae,benthic ,basal taxa,,,,,,,,,,,,,,,,,,,,,
Campylonotus vagans,Crustacea,shrimp,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Careproctus pallidus,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Cephalopoda,Mollusca,molusc,benthopelagic,benthos,,,,,,,,,,,,,,,,,,,,,
Ceramium diaphanum,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Ceramium sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Champsocephalus esox,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Chthamalus sp.,Crustacea,barnacle,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Cirratulidae,Annelida,polychaete,benthic ,benthos,,,,,,,,,,,,,,,,,,,,,
Cirripedia,Crustacea,barnacle,benthic ,benthos,,,,,,,,,,,,,,,,,,,,,
Cladophora sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Codium sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Congiopodus peruvianus,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Copepoda,Crustacea,copepod,benthopelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Cosmasterias lurida,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Cottoperca gobio,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Crepipatella dilatata,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Crustacea,Crustacea,crustacean,benthopelagic,benthos,,,,,,,,,,,,,,,,,,,,,
Ctenophora,Ctenophora,comb jellies,pelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Cumacea,Crustacea,shrimp,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Delesseriaceae ,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Derbesia sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Desmarestia sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Diatomea,Ochrophyta,diatom,benthopelagic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Dissostichus eleginoides,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Echiura,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Ectocarpus sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Eleginops maclovinus,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Euphausiacea,Crustacea,krill,pelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Eurhomalea exalbida,Mollusca,clam,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Eurypodius latreillii,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Exosphaeroma gigas,Crustacea,isopod,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Fissurella oriens,Mollusca,limpet,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Fissurella picta,Mollusca,limpet,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Fresh detritus,NA,detritus (algae),benthopelagic,non-living,,,,,,,,,,,,,,,,,,,,,
Gaimardia trapesina,Mollusca,clam,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Galaxias maculatus,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Gammaridea,Crustacea,amphipod,benthic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Gastropoda,Mollusca,gastropod,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Genypterus blacodes,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Glabraster antarctica,Echinodermata,sea star,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Glyceridae,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Griffithsia sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Halicarcinus planatus ,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Halopteris sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Harpagifer bispinis,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Hiatella arctica,Mollusca,clam,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Hincksia sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Holothuroidea,Echinodermata,sea cucumber,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Hydrozoa,Cnidaria,hydrozoan,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Hymenena sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Hyperiidea,Crustacea,amphipod,pelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Isopoda,Crustacea,isopod,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Laevilitorina caliginosa,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Lithodes santolla,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Loxechinus albus,Echinodermata,sea urchin,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Macroalgae,NA,algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Macrocystis pyrifera,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Macruronus magellanicus,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Margarella violacea,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Membranipora isabelleana,Bryozoa,bryozoan,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Monostroma sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Munida gregaria,Crustacea,lobster,benthopelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Myriogramme sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Mytilus edulis chilensis,Mollusca,mussel,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Myxine glutinosa,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Nacella deaurata,Mollusca,limpet,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Nacella magellanica,Mollusca,limpet,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Nacella mytilina,Mollusca,limpet,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Necromass,NA,necromass,benthopelagic,non-living,,,,,,,,,,,,,,,,,,,,,
Nemertea,Nemertea,nemertean,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Nereididae,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Nothogenia fastigiata,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Notobalanus flosculus,Crustacea,barnacle,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Notochthamalus scabrosus ,Crustacea,barnacle,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Odontesthes nigricans,Vertebrata,fish,pelagic,fish,,,,,,,,,,,,,,,,,,,,,
Oligochaeta,Annelida,oligochaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Ophiuroidea,Echinodermata,ophiuroid,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Ostracoda,Crustacea,ostracod,benthopelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Pagurus comptus,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Paralomis granulosa,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Paranotothenia magellanica,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Pareuthria fuscata,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Patagonotothen brevicauda brevicauda,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Patagonotothen cornucola,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Patagonotothen longipes,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Patagonotothen ramsayi,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Patagonotothen sima,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Patagonotothen sp.,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Patagonotothen tessellata,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Peltarion spinosulum,Crustacea,crab,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Perumytilus purpuratus,Mollusca,mussel,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Phytoplankton,NA,phytoplankton,pelagic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Plaxiphora sp.,Mollusca,chiton,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Polynoidae,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Polyplacophora,Mollusca,chiton,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Polysiphonia sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Porifera,Porifera,sponge,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Porphyra sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Priapulida,Priapulida,priapulid,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Pseudechinus magellanicus,Echinodermata,sea urchin,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Raja (Dipturus) chilensis,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Rhizoclonium sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Salilota australis,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Schroederichthys bivius,Vertebrata,fish,benthic,fish,,,,,,,,,,,,,,,,,,,,,
Scytothamus fasciculatus,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Serpulidae,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Siphonaria lessonii,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Sphacelaria sp.,Ochrophyta,brown algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Spirorbinae,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Sprattus fuegensis,Vertebrata,fish,pelagic,fish,,,,,,,,,,,,,,,,,,,,,
Stromateus brasiliensis,Vertebrata,fish,benthopelagic,fish,,,,,,,,,,,,,,,,,,,,,
Tanaidacea,Crustacea,tanaids,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Terebellidae,Annelida,polychaete,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Tonicia sp.,Mollusca,chiton,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Trailliella sp.,Rhodophyta,red algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Trophon geversianus,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Ulothrix sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Ulva rigida,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Ulva sp.,Chlorophyta,green algae,benthic,basal taxa,,,,,,,,,,,,,,,,,,,,,
Xymenopsis muriciformis ,Mollusca,sea snail,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
Zooplankton,NA,zooplankton,benthopelagic,zooplankton,,,,,,,,,,,,,,,,,,,,,
Zygochlamys patagonica,Mollusca,clam,benthic,benthos,,,,,,,,,,,,,,,,,,,,,
