"","membership"
"Antholoba achates",1
"Aptenoydes patagonicus",1
"Bathylagichthys parini (larvae)",1
"Bunodactis octoradiata",1
"Calidris canutus",2
"Cephalorhynchus commersonii commersonii",1
"Champsocephalus esox",1
"Crepipatella dilatata",1
"Eleginops maclovinus",1
"Genypterus blacodes",1
"Halicarcinus planatus",1
"Labidiaster radiosus",1
"Lagenorhynchus australis",1
"Larus dominicanus",1
"Lithodes santolla",1
"Lithodes santolla (juvenile)",1
"Lontra felina",1
"Loxechinus albus",1
"Macruronus magellanicus",1
"Margarella violacea",1
"Megaptera novaeangliae",1
"Merluccius australis",1
"Munida gregaria",1
"Nacella deaurata",1
"Nacella magellanica",1
"Oncorhynchus tschawytscha",1
"Ophiactis asperula",1
"Ophiuroglypha lymani",1
"Otaria byronia",1
"Pagurus sp.",1
"Paraeuthria fuscata",1
"Patagonotothen cornucola",1
"Patagonotothen tessellata",1
"Patagonotothen tessellata (larvae)",1
"Plaxiphora aurata",1
"Pseudorca crassidens",1
"Salilota australis",1
"Spheniscus magellanicus",1
"Sprattus fuegensis  ",1
"Stercorarius chilensis",1
"Tegula atra",1
"Trophon geversianus",1
"Cosmasterias lurida",1
"Anasterias antarctica",1
"Arbacia dufresnii",1
"Paralomis granulosa",1
"Chloephaga hybrida",1
"Orcinus orca",1
"Eurypodius latreillei",3
"Acanthina monodon",1
"Siphonaria lessonii",1
"Fissurella oriens",1
"Fissurella radiosa",1
"Nacella mytilina",1
"Mytilus chilensis",1
"Harpagifer bispinis",1
"Maurolicus australis (larvae)",1
"Macruronus magellanicus ",1
"Enteroctopus megalocyathus",1
"Ostracoda",1
"Aulacomya atra",1
"Perumytilus purpuratus",1
"Gaimardia sp.",1
"Sprattus fuegensis",1
"Myctophidae",1
"Fragilaria sp.",1
"Bivalvia larva",1
"Copepod egg",1
"Copepod nauplius",1
"Calanoid copepodite",1
"Ostracods",1
"Salp",1
"Appendicularia fecal pellet",1
"Exosphaeroma gigas",1
"Darina solenoides",2
"Aricidea sp.",2
"Patagonotothen spp.",1
"Zoarcids",1
"Odontesthes spp.",1
"Illex argentinus",1
"Doryteuthis gahi",1
"Campylonotus vagans",1
"Patagonotothen sima",1
"Macrocystis pyrifera",1
"Gammaridae",1
"Tanaidae",1
"Chlorophyta",1
"Amphipoda",1
"Merluccius sp.",1
"Patagonotothen sp.",1
"Detritus",1
"Myxine australis",1
"Gaimardia trapesina",1
"Hydrozoans",1
"Bryozoans",1
"Sponges",1
"Foraminifera",1
"Polychaetes",1
"Echinoderms",1
"Crustaceans",1
"Bivalves",1
"Gastropods",1
"Cephalopods",1
"Fish",1
"Sediment",1
"Debris allocthonus",1
"Forams",1
"Nacella spp.",1
"Polyplacophora",1
"Ulva sp.",1
"Prolatilus jugularis",1
"Cottoperca gobio",1
"Acanthocyclus albatrossis",1
"Taliepus dentatus",1
"Cancer edwardsii",1
"Rhodymenia falklandica",1
"Lessonia flavicans",1
"Sarcopeltis skottsbergii",1
"Callophyllis variegata",1
"Euphausia lucens",1
"Euphausia vallentini",1
"Themisto gaudichaudii ",1
"Serolis sp.",1
"Phytodetritus",1
"Bivalvia",1
"Elphidium macellum",1
"Brown algae",1
"Green algae",1
"Miscellaneus",1
"Red algae",1
"Chroococcus sp.",1
"Oscillatoria sp.",1
"Melosira sp.",1
"Coscinodiscus sp.",1
"Stephanopyxis sp.",1
"Biddulphia sp.",1
"Pinnularia sp.",1
"Navicula sp.",1
"Gyrosigma sp.",1
"Diploneis sp.",1
"Plagiotropis sp.",1
"Cocconeis sp.",1
"Surirella sp.",1
"Gomphonema sp.",1
"Cymbella sp.",1
"Licmophora sp",1
"Amphora sp.",1
"Cylindrotheca sp.",1
"Nitzschia sp.",1
"Achnanthes sp.",1
"Rhabdonema sp.",1
"Grammatophora sp.",1
"Dinophysis sp.",1
"Protoperidinium sp.",1
"Prorocentrum sp.",1
"Spongomorpha pacifica",1
"Ulothrix sp.",1
"Ulva clathrata",1
"Ulva lactuca",1
"Ulva prolifera",1
"Rhizoclonium sp.",1
"Ectocarpus siliculosus",1
"Caepidium antarcticum",1
"Adenocystis utricularis",1
"Scytosiphon lomentaria",1
"Halopteris funnicularis",1
"Acrochaetium sp.",1
"Nothogenia fastigiata",1
"Iridaea chordata",1
"Sarcothalia crispata",1
"Grateloupia sp.",1
"Ceramium sp.",1
"Polysiphonia sp.",1
"Pterosiphonia sp.",1
"Ballia callitricha",1
"Bostrychia sp.",1
"Plocamium sp.",1
"Laevilitorina caliginosa",1
"Eatoniella sp.",1
"Mytilus platensis",1
"Lasaea sp.",1
"Amphipoda indet",1
"Elminius kingii",1
"Arachnida indet",1
"Halirytus magellanicus",1
"Mazzaella laminaroides",1
"Grateloupia sp",1
"Heterosiphonia sp.",1
"Onchidella marginata",1
"Notochthamalus scabrosus",1
"Fecal pellets",1
"Macroalgae",1
"Oncorhynchus mykiss",1
"Oncorhynchus kisutch",1
"Salmo salar",1
"Mustelus mento",1
"Thyrsites atun",1
"Paralabrax humeralis",1
"Odontesthes regia",1
"Trachurus murphyi",1
"Cilus gilberti",1
"Genypterus spp.",1
"Callorhinchus callorhynchus",1
"Pinguipes chilensis",1
"Unidentified fish",1
"Platynereis australis",1
"Rhizoclonium sp",1
"Chironomidae",1
"Austroregia sp.",1
"Pluteus larva",1
"Aetideus arcuatus",1
"Calanoides patagoniensis",1
"Calanus simillimus",1
"Paracalanus indicus",1
"Chitinous remains",1
"Diatoms",1
"Squid",1
"Martialia hyadesii",1
"Austrolycus depressiceps",1
"Patagonotothen wiltoni",1
"Doryteuthis  gahi",1
"Hyperiidea",1
"Mysida",1
"Calanoida",1
"Harpacticoida",1
"Megacalanus sp.",1
"Copepoda",1
"Isopoda",1
"Pseudonitzschia sp.",1
"Rhizosolenia sp.",1
"Chaetoceros sp.",1
"Centric diatoms",1
"Pennate diatoms",1
"Asterionellopsis sp.",1
"Thalassiosira sp.",1
"Ramnogaster arcuata",1
"Mazzaella laminarioides",1
"Hiatella arctica",1
"Austrochlamys natans",1
"Rhodophyta indet",1
"Pseudechinus magellanicus",1
"Cephalopoda indet",1
"Acanthocyclus albatrossis ",1
"Enteromorpha sp.",1
"Ectocarpus sp.",1
"Cladophora sp.",1
"Copepods",1
"Decapoda",1
"Acari",1
"Appendicularians",1
"Brachiopods",1
"Fishes",1
"Sediments",1
"Arctocephalus australis",1
"Tachyeres pteneres",1
"Plankton eggs",3
"Plankton larvae",3
"Microalgae",1
"Phytoplankton",1
"Zooplankton",1
"Exospheroma gigas",1
"Doryteuthis gahi ",1
"Tawera elliptica",1
"Peltarion spinulosum",1
"Merluccius hubbsi",1
