"","TL","OI"
"Harpagifer bispinis",2,0
"Sprattus fuegensis",2,0
"Myctophidae",1,0
"Fragilaria sp.",1,0
"Bivalvia larva",1,0
"Copepod egg",1,0
"Copepod nauplius",1,0
"Calanoid copepodite",1,0
"Ostracods",1,0
"Salp",1,0
"Appendicularia fecal pellet",1,0
"Exosphaeroma gigas",1,0
"Darina solenoides",2,0
"Patagonotothen spp.",1,0
"Zoarcids",1,0
"Eleginops maclovinus",2.04,0.038
"Odontesthes spp.",3,0
"Macruronus magellanicus",3,0
"Illex argentinus",1,0
"Doryteuthis gahi",1,0
"Enteroctopus megalocyathus",2,0
"Munida gregaria",2,0
"Halicarcinus planatus",2,0
"Campylonotus vagans",1,0
"Patagonotothen tessellata",2.111,0.099
"Patagonotothen cornucola",2.333,0.222
"Patagonotothen sima",1,0
"Macrocystis pyrifera",1,0
"Gammaridae",1,0
"Tanaidae",1,0
"Ulva sp.",1,0
"Amphipoda",1,0
"Merluccius sp.",1,0
"Patagonotothen sp.",1,0
"Lithodes santolla",2,0
"Detritus",1,0
"Genypterus blacodes",2.714,0.49
"Myxine australis",1,0
"Salilota australis",2.467,0.338
"Gaimardia trapesina",2,0
"Mytilus chilensis",2,0
"Hydrozoans",1,0
"Bryozoans",1,0
"Sponges",1,0
"Forams",1,0
"Polychaetes",1,0
"Echinoderms",1,0
"Crustaceans",1,0
"Bivalves",1,0
"Gastropods",1,0
"Cephalopods",1,0
"Fish",1,0
"Sediment",1,0
"Debris allocthonous",1,0
"Nacella spp.",1,0
"Polyplacophora",1,0
"Prolatilus jugularis",1,0
"Cottoperca gobio",1,0
"Acanthocyclus albatrossis",1,0
"Taliepus dentatus",1,0
"Cancer edwardsii",1,0
"Rhodymenia falklandica",1,0
"Lessonia flavicans",1,0
"Sarcopeltis skottsbergii",1,0
"Callophyllis variegata",1,0
"Euphausia lucens",1,0
"Euphausia vallentini",1,0
"Themisto gaudichaudii ",1,0
"Serolis sp.",1,0
"Phytodetritus",1,0
"Bivalvia",1,0
"Elphidium macellum",1,0
"Brown algae",1,0
"Green algae",1,0
"Miscellaneus",1,0
"Red algae",1,0
"Chroococcus sp.",1,0
"Oscillatoria sp.",1,0
"Melosira sp.",1,0
"Coscinodiscus sp.",1,0
"Stephanopyxis sp.",1,0
"Biddulphia sp.",1,0
"Pinnularia sp.",1,0
"Navicula sp.",1,0
"Gyrosigma sp.",1,0
"Diploneis sp.",1,0
"Plagiotropis sp.",1,0
"Cocconeis sp.",1,0
"Surirella sp.",1,0
"Gomphonema sp.",1,0
"Cymbella sp.",1,0
"Licmophora sp",1,0
"Amphora sp.",1,0
"Cylindrotheca sp.",1,0
"Nitzschia sp.",1,0
"Achnanthes sp.",1,0
"Rhabdonema sp.",1,0
"Grammatophora sp.",1,0
"Dinophysis sp.",1,0
"Protoperidinium sp.",1,0
"Prorocentrum sp.",1,0
"Spongomorpha pacifica",1,0
"Ulothrix sp.",1,0
"Ulva clathrata",1,0
"Ulva lactuca",1,0
"Ulva prolifera",1,0
"Rhizoclonium sp.",1,0
"Ectocarpus siliculosus",1,0
"Caepidium antarcticum",1,0
"Adenocystis utricularis",1,0
"Scytosiphon lomentaria",1,0
"Halopteris funnicularis",1,0
"Acrochaetium sp.",1,0
"Nothogenia fastigiata",1,0
"Iridaea chordata",1,0
"Sarcothalia crispata",1,0
"Grateloupia sp.",1,0
"Ceramium sp.",1,0
"Polysiphonia sp.",1,0
"Pterosiphonia sp.",1,0
"Ballia callitricha",1,0
"Bostrychia sp.",1,0
"Plocamium sp.",1,0
"Margarella violacea",2,0
"Laevilitorina caliginosa",1,0
"Eatoniella sp.",1,0
"Mytilus platensis",1,0
"Lasaea sp.",1,0
"Amphipoda indet",1,0
"Elminius kingii",1,0
"Arachnida indet",1,0
"Halirytus magellanicus",1,0
"Mazzaella laminaroides",1,0
"Grateloupia sp",1,0
"Heterosiphonia sp.",1,0
"Onchidella marginata",1,0
"Notochthamalus scabrosus",1,0
"Fecal pellets",1,0
"Macroalgae",1,0
"Oncorhynchus mykiss",1,0
"Oncorhynchus kisutch",1,0
"Salmo salar",1,0
"Mustelus mento",1,0
"Thyrsites atun",1,0
"Paralabrax humeralis",1,0
"Odontesthes regia",1,0
"Trachurus murphyi",1,0
"Merluccius australis",3,0
"Cilus gilberti",1,0
"Genypterus spp.",1,0
"Callorhinchus callorhynchus",1,0
"Pinguipes chilensis",1,0
"Unidentified fish",1,0
"Platynereis australis",1,0
"Rhizoclonium sp",1,0
"Chironomidae",1,0
"Austroregia sp.",1,0
"Pluteus larva",1,0
"Aetideus arcuatus",1,0
"Calanoides patagoniensis",1,0
"Calanus simillimus",1,0
"Paracalanus indicus",1,0
"Chitinous remains",1,0
"Diatoms",1,0
"Squid",1,0
"Martialia hyadesii",1,0
"Austrolycus depressiceps",1,0
"Patagonotothen wiltoni",1,0
"Doryteuthis  gahi",1,0
"Hyperiidea",1,0
"Mysida",1,0
"Calanoida",1,0
"Harpacticoida",1,0
"Megacalanus sp.",1,0
"Copepoda",1,0
"Isopoda",1,0
"Pseudonitzschia sp.",1,0
"Rhizosolenia sp.",1,0
"Chaetoceros sp.",1,0
"Centric diatoms",1,0
"Pennate diatoms",1,0
"Asterionellopsis sp.",1,0
"Thalassiosira sp.",1,0
"Ramnogaster arcuata",1,0
"Mazzaella laminarioides",1,0
"Aulacomya atra",2,0
"Hiatella arctica",1,0
"Perumytilus purpuratus",2,0
"Austrochlamys natans",1,0
"Rhodophyta indet",1,0
"Pseudechinus magellanicus",1,0
"Cephalopoda indet",1,0
"Acanthocyclus albatrossis ",1,0
"Enteromorpha sp.",1,0
"Ectocarpus sp.",1,0
"Cladophora sp.",1,0
"Copepods",1,0
"Decapoda",1,0
"Acari",1,0
"Appendicularians",1,0
"Brachiopods",1,0
"Fishes",1,0
"Sediments",1,0
"Otaria byronia",2.315,0.343
"Arctocephalus australis",1,0
"Tachyeres pteneres",1,0
"Pagurus sp.",2,0
"Trophon geversianus",2.75,0.188
"Microalgae",1,0
"Phytoplankton",1,0
"Zooplankton",1,0
"Exospheroma gigas",1,0
"Doryteuthis gahi ",1,0
"Tawera elliptica",1,0
"Peltarion spinulosum",1,0
"Merluccius hubbsi",1,0
"Arbacia dufresnii",2,0
"Loxechinus albus",2.167,0.139
"Antholoba achates",3,0
"Aptenoydes patagonicus",2.528,0.28
"Bathylagichthys parini (larvae)",2,0
"Bunodactis octoradiata",2,0
"Calidris canutus",3,0
"Cephalorhynchus commersonii commersonii",2.753,0.523
"Champsocephalus esox",2.815,0.34
"Crepipatella dilatata",2,0
"Labidiaster radiosus",2,0
"Lagenorhynchus australis",2.926,0.521
"Larus dominicanus",3,0
"Lithodes santolla (juvenile)",2.077,0.071
"Lontra felina",2.3,0.21
"Megaptera novaeangliae",2.4,0.24
"Nacella deaurata",2.015,0.015
"Nacella magellanica",2.016,0.016
"Oncorhynchus tschawytscha",3,0
"Ophiactis asperula",2,0
"Ophiuroglypha lymani",2,0
"Paraeuthria fuscata",2,0
"Patagonotothen tessellata (larvae)",2,0
"Plaxiphora aurata",2,0
"Pseudorca crassidens",2.743,0.836
"Spheniscus magellanicus",2.333,0.222
"Stercorarius chilensis",2.5,0.25
"Tegula atra",2,0
"Cosmasterias lurida",2.845,0.346
"Anasterias antarctica",3.25,0.125
"Paralomis granulosa",2.231,0.178
"Chloephaga hybrida",2,0
"Orcinus orca",2.329,0.324
"Eurypodius latreillei",2.4,0.24
"Acanthina monodon",3,0
"Siphonaria lessonii",2,0
"Fissurella oriens",2,0
"Fissurella radiosa",2,0
"Nacella mytilina",2,0
"Maurolicus australis (larvae)",2,0
"Macruronus magellanicus ",3,0
"Ostracoda",2,0
